variavel,codigo,rotulo
r302,2,1 ou 2 vezes nos últimos 12 meses
r302,3,3 a 5 vezes nos últimos 12 meses
r302,4,6 a 9 vezes nos últimos 12 meses
r302,5,10 ou mais vezes nos últimos 12 meses
r302,6,"procurou, mas não se lembra o número de vezes"
r302,7,não se lembra se procurou
r303,1,sim
r303,2,não
r303,3,não se lembra ou não sabe informar
r304,1,sim
r304,2,não
r305_dia,,
r305_hora,,
r305_obs,,
r101,1,sim
r101,2,não
r102,1,sim
r102,2,não
r103,1,sim
r103,2,não
r104,1,sim
r104,2,não
r105,1,sim
r105,2,não
r105,777,não sabe
r106,,
r107,1,sim
r107,2,não
r107,777,não sabe
r108,1,sim
r108,2,não
r108,777,não sabe
r109,1,sim
r109,2,não
r109,777,não quis informar
r110,1,sim
r110,2,não
r110,777,não quis informar
r111,1,sim
r111,2,não
r112,1,sim
r112,2,não
r113,1,laqueadura (ligadura de trompa)
r113,2,vasectomia
r113,3,camisinha
r113,4,pílula
r113,5,diu
r113,6,diafragma
r113,7,injeção
r113,8,implante hormonal
r113,9,outros
r114,1,laqueadura (ligadura de trompa)
r114,2,vasectomia
r114,3,camisinha
r114,4,pílula
r114,5,diu
r114,6,diafragma
r114,7,injeção
r114,8,implante hormonal
r114,9,outros
r114,10,nenhum outro
r115,1,"sim, apenas 1"
r115,2,"sim, mais de um"
r115,3,não
r115,777,não quis informar
r116,,
r120,1,há menos de 1 ano
r120,2,entre 1 e 2 anos
r120,3,entre 2 e 3 anos
r120,4,entre 3 e 4 anos
r120,5,entre 4 e 5 anos
r120,6,há mais de 5 anos
r120,7,nunca mediu pressão em uma consulta médica
r120,8,nunca realizou consulta médica
r121,1,sim
r121,2,não
r121,777,não sabe
r122,1,há menos de 1 ano
r122,2,entre 1 e 2 anos
r122,3,entre 2 e 3 anos
r122,4,entre 3 e 4 anos
r122,5,entre 4 e 5 anos
r122,6,há mais de 5 anos
r122,7,nunca fez o exame
r122,8,nunca realizou consulta médica
r123,1,sim
r123,2,não
r124,1,sim
r124,2,não
r125,1,sim
r125,2,não
r126,1,sim
r126,2,não
r127,1,sim
r127,2,não
r131,,
r132,1,sim
r132,2,não
r132,777,não sabe
r132,888,não quis informar
r139,1,sim
r139,2,não
r139,777,não sabe
r139,888,não quis responder
r140,1,sim
r140,2,não
r140,777,não sabe
r141,1,1 a 2 vezes
r141,2,3 a 4 vezes
r141,3,5 a 6 vezes
r141,4,mais de 6 vezes
r141,777,não sabe
r141,888,não quis informar
r142,1,casa
r142,2,apartamento
r142,777,não sabe
r142,888,não quis informar
r151,1,sim
r151,2,não
r151,777,não sabe
r152,1,há menos de 1 ano
r152,2,de 1 até 2 anos
r152,3,de 2 até 5 anos
r152,4,há mais de 5 anos
r152,777,não sabe / não lembra
r158,1,sim
r158,2,não
r159,1,sim
r159,2,não
r159,3,não constumo preparar alimentos em casa
r160,1,1 a 2 dias por semana
r160,2,3 a 4 dias por semana
r161,1,1 a 2 dias por semana
r161,2,3 a 4 dias por semana
r201,1,menos de 1 hora
r201,2,entre 1 e 2 horas
r201,3,entre 2 e 3 horas
r201,4,entre 3 e 4 horas
r201,5,entre 4 e 5 horas
r201,6,entre 5 e 6 horas
r201,7,mais de 6 horas
fumante,0,Não
fumante,1,Sim
exfuma,0,Não
exfuma,1,Sim
mais20,0,Não
mais20,1,Sim
fumocasa,0,Não
fumocasa,1,Sim
fumocasa2024,0,Não
fumocasa2024,1,Sim
fumotrab,0,Não
fumotrab,1,Sim
fumotrab2024,0,Não
fumotrab2024,1,Sim
eletronico,0,Não
eletronico,1,Sim
eletronicoexp,0,Não
eletronicoexp,1,Sim
fumantetotal,0,Não
fumantetotal,1,Sim
imc,,
imc_i,,
excpeso,0,Não
excpeso,1,Sim
excpeso_i,0,Não
excpeso_i,1,Sim
obesid,0,Não
obesid,1,Sim
obesid_i,0,Não
obesid_i,1,Sim
hortareg,0,Não
hortareg,1,Sim
frutareg,0,Não
frutareg,1,Sim
flvreg,0,Não
flvreg,1,Sim
cruadia,,
cozidadia,,
